project,street,marketSegment,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,x,y,nettPrice
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0722,3,716500,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,11-15,1,0822,3,1138800,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,40,06-10,1,0223,3,695000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,122,11-15,1,0822,3,1915000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,01-05,1,0323,3,760000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,76,06-10,1,0223,3,1218000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,105,11-15,1,0822,3,1680000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,06-10,1,0323,3,1112000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0423,3,1548000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,1222,3,756000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0623,3,800000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,40,06-10,1,1022,3,700000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0922,3,750000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,76,06-10,1,1022,3,1234000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,77,16-20,1,0625,3,1255000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,11-15,1,0323,3,1155000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,11-15,1,0323,3,1600000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,01-05,1,0223,3,1105000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,11-15,1,0523,3,1150000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,0523,3,1488000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0523,3,1538888,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,95,11-15,1,0623,3,1600000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0723,3,1580888,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,11-15,1,0424,3,1628000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,76,01-05,1,0624,3,1360000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,0324,3,1510000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,0824,3,1490000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,40,16-20,1,0824,3,730000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,06-10,1,0824,3,1200000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,06-10,1,0823,3,1135000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,06-10,1,0923,3,1550000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,11-15,1,0524,3,1168000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,57,16-20,1,0424,3,850000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,1024,3,1540000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,11-15,1,1124,3,825000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,11-15,1,1024,3,1648000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,11-15,1,0224,3,1075000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0124,3,1530000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0324,3,770000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,1024,3,1500000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,76,11-15,1,0524,3,1380000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,55,11-15,1,0524,3,988000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,122,06-10,1,0823,3,2108800,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,75,16-20,1,1223,3,1310000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,11-15,1,0424,3,820000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,1024,3,1452000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,57,01-05,1,1024,3,988000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,82,06-10,1,1024,3,1428000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,06-10,1,1124,3,1170000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,0124,3,1538000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,11-15,1,0524,3,800000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,95,01-05,1,1223,3,1700000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,11-15,1,0224,3,1600000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,1023,3,1546888,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,57,06-10,1,1023,3,1000000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,11-15,1,1124,3,1668000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,75,16-20,1,1223,3,1300000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,57,06-10,1,1123,3,1075000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,77,16-20,1,1224,3,1250000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,11-15,1,0325,3,1188000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,75,16-20,1,0325,3,1220811,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,82,06-10,1,0525,3,1430000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,11-15,1,0625,3,1200100,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,06-10,1,0625,3,1600000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,11-15,1,0725,3,1150000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,06-10,1,0625,3,1655000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,122,06-10,1,0125,3,2250000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0825,3,1500000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,11-15,1,0825,3,780000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0325,3,1490000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0525,3,1530000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,95,06-10,1,0925,3,1680000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,11-15,1,0825,3,808000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,95,11-15,1,0226,3,1690000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0525,3,1550000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,65,06-10,1,0425,3,1198888,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0825,3,783000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,1225,3,1400000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,11-15,1,0525,3,1520000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,01-05,1,0126,3,796000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,06-10,1,1025,3,1625000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,06-10,1,0125,3,1600000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,55,06-10,1,1125,3,975000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,0925,3,1550000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0625,3,780000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,55,11-15,1,0725,3,980000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,122,11-15,1,0725,3,2280000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0925,3,805000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,77,16-20,1,0325,3,1250000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,82,06-10,1,0625,3,1401488,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,11-15,1,0425,3,1200000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,105,11-15,1,1225,3,1870000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,06-10,1,0325,3,780000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,06-10,1,1025,3,1185000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,40,06-10,1,0326,3,750000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,82,01-05,1,0326,3,1405000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,57,16-20,1,0525,3,868000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,55,01-05,1,0525,3,960000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,82,06-10,1,0526,3,1468000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,95,06-10,1,0226,3,1700000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,06-10,1,0226,3,1200000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,46,11-15,1,0426,3,805000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,66,01-05,1,0526,3,1200000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,87,06-10,1,0426,3,1560000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,40,01-05,1,0426,3,730000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,106,16-20,1,0526,3,1813000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,06-10,1,0526,3,1660000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,01-05,1,0526,3,1656000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
LE QUEST,BUKIT BATOK STREET 41,OCR,91,11-15,1,0626,3,1710000,Apartment,23,Strata,99 yrs lease commencing from 2016,17792.13824,37546.43235,
PRESIDENT GARDENS,LENTOR GREEN,OCR,344.4,-,1,1021,3,4380000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,395.3,-,1,0921,3,4230000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,209.8,-,1,0323,3,3600000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,357.7,-,1,1022,3,5308000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,184.8,-,1,1023,3,3780000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,209.5,-,1,0524,3,4450000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,210.6,-,1,0624,3,4130000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,217.4,-,1,0724,3,3500000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,211.5,-,1,0825,3,4650000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
PRESIDENT GARDENS,LENTOR GREEN,OCR,210.8,-,1,0726,3,4550000,Terrace,26,Land,Freehold,28529.62848,40809.52596,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,112,01-05,1,0921,3,1310000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,121,01-05,1,0222,3,1430000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,112,06-10,1,0122,3,1430000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,112,06-10,1,0922,3,1550000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,121,06-10,1,0423,3,1750000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,112,06-10,1,1123,3,1690000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,121,06-10,1,0425,3,1708800,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
HILLVIEW APARTMENTS,HILLVIEW AVENUE,OCR,112,06-10,1,0325,3,1825000,Apartment,23,Strata,Freehold,20128.46987,37566.92181,
CHESTERVALE,BANGKIT ROAD,OCR,134,11-15,1,0821,3,1093800,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,11-15,1,0122,3,1118888,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,16-20,1,1121,3,1150000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,11-15,1,0622,3,1100000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,06-10,1,0522,3,1258000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,137,11-15,1,0522,3,1300000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,130,11-15,1,0822,3,1178000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,06-10,1,0622,3,1110000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,137,16-20,1,0522,3,1200000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,11-15,1,0622,3,1105000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,121,11-15,1,0622,3,1128000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,142,01-05,1,0122,3,1100000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,06-10,1,0922,3,1130000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,01-05,1,0922,3,1120000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,11-15,1,0223,3,1250000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,11-15,1,1222,3,1300000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,01-05,1,1022,3,1230000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,135,11-15,1,1222,3,1220000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,132,06-10,1,1222,3,1312500,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,147,11-15,1,1122,3,1380000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,240,11-15,1,1122,3,1940000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,06-10,1,0523,3,1288800,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,06-10,1,1222,3,1200000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,01-05,1,0123,3,1215000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,01-05,1,0523,3,1210000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,06-10,1,0523,3,1200000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,135,11-15,1,1123,3,1470000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,06-10,1,0424,3,1300000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,06-10,1,0823,3,1280000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,134,11-15,1,0524,3,1430000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,130,11-15,1,0823,3,1325000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,01-05,1,0824,3,1250000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,01-05,1,0524,3,1240000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,01-05,1,0524,3,1355000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,11-15,1,0624,3,1200000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,11-15,1,1124,3,1430000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,01-05,1,0924,3,1158000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,16-20,1,0125,3,1500000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,06-10,1,0325,3,1530000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,131,11-15,1,0725,3,1518888,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,11-15,1,0425,3,1280000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,117,11-15,1,0625,3,1300000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,01-05,1,0525,3,1380000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
CHESTERVALE,BANGKIT ROAD,OCR,133,06-10,1,0225,3,1500000,Executive Condominium,23,Strata,99 yrs lease commencing from 1997,21481.20633,40104.2301,
